iter	Passed	Remaining
802	1331	326
803	1333	324
804	1334	323
805	1335	321
806	1337	319
807	1339	318
808	1340	316
809	1342	314
810	1343	313
811	1345	311
812	1347	309
813	1348	308
814	1350	306
815	1352	304
816	1354	303
817	1356	301
818	1357	300
819	1359	298
820	1360	296
821	1362	295
822	1363	293
823	1365	291
824	1367	290
825	1369	288
826	1371	286
827	1372	285
828	1374	283
829	1375	281
830	1377	280
831	1378	278
832	1380	276
833	1382	275
834	1384	273
835	1385	271
836	1387	270
837	1388	268
838	1390	266
839	1391	265
840	1392	263
841	1394	261
842	1395	259
843	1397	258
844	1399	256
845	1400	255
846	1402	253
847	1403	251
848	1405	249
849	1406	248
850	1408	246
851	1409	244
852	1412	243
853	1414	241
854	1415	240
855	1417	238
856	1418	236
857	1420	235
858	1421	233
859	1422	231
860	1425	230
861	1426	228
862	1428	226
863	1430	225
864	1431	223
865	1432	221
866	1434	220
867	1435	218
868	1437	216
869	1438	214
870	1440	213
871	1441	211
872	1443	210
873	1445	208
874	1446	206
875	1448	204
876	1449	203
877	1450	201
878	1452	199
879	1453	198
880	1455	196
881	1457	195
882	1459	193
883	1460	191
884	1461	189
885	1463	188
886	1464	186
887	1466	184
888	1467	183
889	1469	181
890	1471	179
891	1472	178
892	1473	176
893	1475	174
894	1476	173
895	1478	171
896	1479	169
897	1480	168
898	1482	166
899	1483	164
900	1485	163
901	1486	161
902	1488	159
903	1489	158
904	1490	156
905	1492	154
906	1493	153
907	1494	151
908	1496	149
909	1497	148
910	1499	146
911	1500	144
912	1502	143
913	1504	141
914	1505	139
915	1507	138
916	1508	136
917	1509	134
918	1511	133
919	1512	131
920	1514	129
921	1515	128
922	1517	126
923	1518	124
924	1519	123
925	1521	121
926	1522	119
927	1523	118
928	1525	116
929	1526	114
930	1527	113
931	1530	111
932	1532	110
933	1533	108
934	1534	106
935	1536	105
936	1537	103
937	1538	101
938	1540	100
939	1541	98
940	1542	96
941	1545	95
942	1546	93
943	1548	91
944	1549	90
945	1550	88
946	1552	86
947	1553	85
948	1554	83
949	1556	81
950	1557	80
951	1559	78
952	1560	76
953	1562	75
954	1563	73
955	1565	72
956	1566	70
957	1567	68
958	1569	67
959	1570	65
960	1572	63
961	1573	62
962	1575	60
963	1577	58
964	1578	57
965	1579	55
966	1581	53
967	1582	52
968	1583	50
969	1585	49
970	1586	47
971	1588	45
972	1590	44
973	1591	42
974	1593	40
975	1594	39
976	1596	37
977	1597	35
978	1598	34
979	1600	32
980	1601	31
981	1603	29
982	1604	27
983	1605	26
984	1607	24
985	1608	22
986	1610	21
987	1611	19
988	1613	17
989	1614	16
990	1615	14
991	1617	13
992	1619	11
993	1620	9
994	1621	8
995	1623	6
996	1624	4
997	1625	3
998	1627	1
999	1628	0
